Отрасль;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
  производство кокса и нефтепродуктов;4916;7012;9625;11879;13729;19397;22320;28565;34913;37964;41563;48463;59195;64760;75517;81605;88194;95957;87591;81685;82106;87214;97720;109541
  производство резиновых и  пластмассовых изделий;2140;3032;3957;4951;5957;6879;8768;11083;13464;13851;15766;17713;19758;21599;23270;25006;27565;30622;33581;35623;39662;44817;51471;61423
